1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1|-3.61999e-06,-3.61999e-06,1,0,-1,1.31043e-11,-3.61999e-06,0,0,-1,-3.61999e-06,0,0,0,0,1|-3.61999e-06,-3.61999e-06,1,0,3.61999e-06,-1,-3.61998e-06,0,1,3.61998e-06,3.62e-06,0,0,0,0,1|-3.61999e-06,-3.61999e-06,1,0,3.61999e-06,-1,-3.61998e-06,0,1,3.61998e-06,3.62e-06,0,0.25,9.04994e-07,9.05001e-07,1|-3.61999e-06,-3.61999e-06,1,0,1,7.23997e-06,3.62002e-06,0,-7.23998e-06,1,3.61996e-06,0,0.25,9.04994e-07,9.05001e-07,1|-3.61999e-06,-3.61999e-06,1,0,1,7.23997e-06,3.62002e-06,0,-7.23998e-06,1,3.61996e-06,0,0.249998,0.250001,1.80999e-06,1||
0.696707,0.717356,0,0,-0.717356,0.696707,0,0,0,0,1,0,0,0,0,1|7.47496e-08,-5.11889e-06,1,0,-0.696707,-0.717356,-3.61999e-06,0,0.717356,-0.696707,-3.61999e-06,0,0,0,0,1|7.47495e-08,-5.11889e-06,1,0,0.717358,-0.696704,-3.61998e-06,0,0.696704,0.717358,3.62e-06,0,0,0,0,1|7.47495e-08,-5.11889e-06,1,0,0.717358,-0.696704,-3.61998e-06,0,0.696704,0.717358,3.62e-06,0,0.174176,0.17934,9.05001e-07,1|7.47495e-08,-5.11889e-06,1,0,0.696702,0.717361,3.62002e-06,0,-0.717361,0.696702,3.61996e-06,0,0.174176,0.17934,9.05001e-07,1|7.47495e-08,-5.11889e-06,1,0,0.696702,0.717361,3.62002e-06,0,-0.717361,0.696702,3.61996e-06,0,-0.00516416,0.353515,1.80999e-06,1||
-0.416146,0.909298,0,0,-0.909298,-0.416146,0,0,0,0,1,0,0,0,0,1|4.79809e-06,-1.78521e-06,1,0,0.416146,-0.909298,-3.61999e-06,0,0.909298,0.416146,-3.61999e-06,0,0,0,0,1|4.79809e-06,-1.78521e-06,1,0,0.909296,0.416149,-3.61998e-06,0,-0.416149,0.909296,3.62e-06,0,0,0,0,1|4.79809e-06,-1.78521e-06,1,0,0.909296,0.416149,-3.61998e-06,0,-0.416149,0.909296,3.62e-06,0,-0.104037,0.227324,9.05001e-07,1|4.79809e-06,-1.78521e-06,1,0,-0.416152,0.909295,3.62002e-06,0,-0.909295,-0.416152,3.61996e-06,0,-0.104037,0.227324,9.05001e-07,1|4.79809e-06,-1.78521e-06,1,0,-0.416152,0.909295,3.62002e-06,0,-0.909295,-0.416152,3.61996e-06,0,-0.331361,0.123286,1.80999e-06,1||
-0.712035,-0.702144,0,0,0.702144,-0.712035,0,0,0,0,1,0,0,0,0,1|3.58041e-08,5.11931e-06,1,0,0.712035,0.702144,-3.61999e-06,0,-0.702144,0.712035,-3.61999e-06,0,0,0,0,1|3.58041e-08,5.11931e-06,1,0,-0.702147,0.712032,-3.61998e-06,0,-0.712032,-0.702147,3.62e-06,0,0,0,0,1|3.58041e-08,5.11931e-06,1,0,-0.702147,0.712032,-3.61998e-06,0,-0.712032,-0.702147,3.62e-06,0,-0.178008,-0.175537,9.05001e-07,1|3.58041e-08,5.11931e-06,1,0,-0.71203,-0.702149,3.62002e-06,0,0.702149,-0.71203,3.61996e-06,0,-0.178008,-0.175537,9.05001e-07,1|3.58041e-08,5.11931e-06,1,0,-0.71203,-0.702149,3.62002e-06,0,0.702149,-0.71203,3.61996e-06,0,-0.00247075,-0.353544,1.80999e-06,1||
-0.712035,-0.702144,0,0,0.702144,-0.712035,0,0,0,0,1,0,0,0,0,1|3.58041e-08,5.11931e-06,1,0,0.712035,0.702144,-3.61999e-06,0,-0.702144,0.712035,-3.61999e-06,0,0,0,0,1|3.58041e-08,5.11931e-06,1,0,-0.702147,0.712032,-3.61998e-06,0,-0.712032,-0.702147,3.62e-06,0,0,0,0,1|3.58041e-08,5.11931e-06,1,0,-0.702147,0.712032,-3.61998e-06,0,-0.712032,-0.702147,3.62e-06,0,-0.178008,-0.175537,9.05001e-07,1|3.58041e-08,5.11931e-06,1,0,-0.71203,-0.702149,3.62002e-06,0,0.702149,-0.71203,3.61996e-06,0,-0.178008,-0.175537,9.05001e-07,1|3.58041e-08,5.11931e-06,1,0,-0.71203,-0.702149,3.62002e-06,0,0.702149,-0.71203,3.61996e-06,0,-0.00247075,-0.353544,1.80999e-06,1||
0.554371,-0.83227,0,0,0.83227,0.554371,0,0,0,0,1,0,0,0,0,1|-5.01963e-06,1.00599e-06,1,0,-0.554371,0.83227,-3.61999e-06,0,-0.83227,-0.554371,-3.61999e-06,0,0,0,0,1|-5.01962e-06,1.00599e-06,1,0,-0.832268,-0.554374,-3.61998e-06,0,0.554374,-0.832268,3.62e-06,0,0,0,0,1|-5.01962e-06,1.00599e-06,1,0,-0.832268,-0.554374,-3.61998e-06,0,0.554374,-0.832268,3.62e-06,0,0.138593,-0.208067,9.05001e-07,1|-5.01962e-06,1.00599e-06,1,0,0.554377,-0.832266,3.62002e-06,0,0.832266,0.554377,3.61996e-06,0,0.138593,-0.208067,9.05001e-07,1|-5.01962e-06,1.00599e-06,1,0,0.554377,-0.832266,3.62002e-06,0,0.832266,0.554377,3.61996e-06,0,0.34666,-0.0694727,1.80999e-06,1||
0.624107,0.781339,0,0,-0.781339,0.624107,0,0,0,0,1,0,0,0,0,1|5.69181e-07,-5.0877e-06,1,0,-0.624106,-0.781339,-3.61999e-06,0,0.781339,-0.624106,-3.61999e-06,0,0,0,0,1|5.69181e-07,-5.0877e-06,1,0,0.781341,-0.624104,-3.61998e-06,0,0.624104,0.781341,3.62e-06,0,0,0,0,1|5.69181e-07,-5.0877e-06,1,0,0.781341,-0.624104,-3.61998e-06,0,0.624104,0.781341,3.62e-06,0,0.156026,0.195335,9.05001e-07,1|5.69181e-07,-5.0877e-06,1,0,0.624101,0.781344,3.62002e-06,0,-0.781344,0.624101,3.61996e-06,0,0.156026,0.195335,9.05001e-07,1|5.69181e-07,-5.0877e-06,1,0,0.624101,0.781344,3.62002e-06,0,-0.781344,0.624101,3.61996e-06,0,-0.03931,0.351361,1.80999e-06,1||
0.624107,0.781339,0,0,-0.781339,0.624107,0,0,0,0,1,0,0,0,0,1|-0.618905,-0.774826,-0.128847,0,0.0804115,0.100676,-0.991664,0,0.781339,-0.624106,-3.61999e-06,0,0,0,0,1|-0.618905,-0.774826,-0.128847,0,0.781339,-0.624107,-3.01743e-08,0,-0.0804143,-0.100673,0.991664,0,0,0,0,1|-0.618905,-0.774826,-0.128847,0,0.781339,-0.624107,-3.01743e-08,0,-0.0804143,-0.100673,0.991664,0,-0.0201036,-0.0251683,0.247916,1|-0.618904,-0.774826,-0.128847,0,-0.0804171,-0.100671,0.991664,0,-0.781339,0.624107,-3.55964e-06,0,-0.0201036,-0.0251683,0.247916,1|-0.618904,-0.774826,-0.128847,0,-0.0804171,-0.100671,0.991664,0,-0.781339,0.624107,-3.55964e-06,0,-0.215438,0.130858,0.247915,1||
0.624107,0.781339,0,0,-0.781339,0.624107,0,0,0,0,1,0,0,0,0,1|0.123014,0.154012,-0.980381,0,0.611863,0.76601,0.197109,0,0.781339,-0.624107,-3.61999e-06,0,0,0,0,1|0.123014,0.154012,-0.980381,0,0.781337,-0.624109,-4.33352e-06,0,-0.611866,-0.766008,-0.197109,0,0,0,0,1|0.123014,0.154012,-0.980381,0,0.781337,-0.624109,-4.33352e-06,0,-0.611866,-0.766008,-0.197109,0,-0.152966,-0.191502,-0.0492774,1|0.123014,0.154012,-0.980381,0,-0.611869,-0.766006,-0.197109,0,-0.781335,0.624112,5.04706e-06,0,-0.152966,-0.191502,-0.0492774,1|0.123014,0.154012,-0.980381,0,-0.611869,-0.766006,-0.197109,0,-0.781335,0.624112,5.04706e-06,0,-0.3483,-0.0354739,-0.0492761,1||
0.624107,0.781339,0,0,-0.781339,0.624107,0,0,0,0,1,0,0,0,0,1|0.490115,0.613587,0.619111,0,-0.386389,-0.483738,0.785303,0,0.781339,-0.624107,-3.61999e-06,0,0,0,0,1|0.490115,0.613587,0.619111,0,0.781341,-0.624105,-6.46278e-06,0,0.386386,0.48374,-0.785303,0,0,0,0,1|0.490115,0.613587,0.619111,0,0.781341,-0.624105,-6.46278e-06,0,0.386386,0.48374,-0.785303,0,0.0965966,0.120935,-0.196326,1|0.490115,0.613587,0.619111,0,0.386383,0.483742,-0.785303,0,-0.781342,0.624103,9.30557e-06,0,0.0965966,0.120935,-0.196326,1|0.490115,0.613587,0.619111,0,0.386383,0.483742,-0.785303,0,-0.781342,0.624103,9.30557e-06,0,-0.0987389,0.276961,-0.196324,1||
